gene_symbol	C1_R	C2_R	C3_R	C4_R	C5_R	C6_R	C7_R	C8_R	C9_R	C10_R	C11_R	C12_R	C13_R	C14_R	C15_R	C16_R	C17_R	C18_R	C19_R	C20_R	C21_R	C22_R	C23_R	C24_R	C25_R	C26_R	C27_R	C28_R	C29_N	C30_N	C31_N	C32_N	C33_N	C34_N	C35_N	C36_N	C37_N	C38_N	C39_N	C40_N	C41_N	C42_N	C43_N	C44_N	C45_N	C46_N	C47_N	C48_N	C49_N	C50_N	C51_N	C52_N	C53_N	C54_N	C55_N	C56_N	C57_N	C58_N	C59_N	C60_N	C61_N	C62_N	C63_N	C64_N	C65_N	C66_N	C67_N	C68_N	C69_N	C70_N	C71_N	C72_N	C73_N	C74_N	C75_N	C76_N	C77_N	C78_N	C79_N	C80_N	C81_N	C82_N	C83_N	C84_N	C85_N	C86_N	C87_N	C88_N	C89_N	C90_N	C91_N	C92_N	C93_N	C94_N	C95_N	C96_N
RAD52	17.8590372782606	7.28904709158936	26.5484757974908	24.9082445121302	11.7856228359219	15.2195433593187	9.34003161692015	0.0	16.1305387239373	8.87203835329391	29.2621799673922	43.7815020049691	14.0107294992586	2.51548202968262	9.5598273500839	8.16837799103997	15.226688832229	19.8453804514638	18.7912535160543	7.70109982006375	20.9075358100234	77.0694207534913	9.70478567752283	13.339349482958	22.1190183128379	16.7707074704866	20.2269378239512	4.37682881842623	12.6639428530335	3.58197015256946	19.4657551992977	7.895326565164	16.031060958881	15.2659605176784	15.934155095132	14.5903433146031	10.5572346591672	12.0069265504102	12.0223052533417	25.0629852222033	15.0759760405783	12.3820531518208	9.00480154008306	23.483450203079	9.8289154423773	47.6561239008335	10.7336069509797	2.85892736753268	25.2989368808899	5.42149110541864	46.3909794315998	73.1707735379099	0.0	27.5557668751478	42.0306350636541	16.3506176987144	47.938214782151	0.0	0.0	4.0957314266245	4.25938163345608	0.0	4.35230852711818	14.4983266345092	3.95439286487902	12.3027356134893	51.048985184908	14.7343683995775	10.1106888367011	9.62808581057832	23.7605223558078	10.1918035635604	23.1668159328734	19.7317260510669	3.90472590233658	0.0	12.1580651032435	13.3665455823277	27.9691761098237	2.24999856977942	4.52651774978587	0.0	12.8826861647311	14.0166983678683	14.0580970247389	5.43643866115038	33.1452885789895	2.33869852284104	3.28434742703118	0.0	2.88324120846935	17.2051187815382	2.29630991912728	26.5469695262396	7.96590096794409	11.114030511383
LASP1	7.56968521212213	2.16266161406029	0.0	2.95611229304137	3.49679646526786	14.4500522136911	5.54237820066498	0.0	23.9296690459203	2.63233541285239	8.68209418378228	0.0	6.92831003657337	11.9415037013116	7.09100633707186	1.61570616921387	2.25888068995325	1.96270934456011	0.0	3.04655697928217	3.544725556639	0.0	5.75882339453628	0.0	4.37514453716616	7.10838856306662	3.4293349579119	3.89581774873373	65.1281657182394	2.12554240748705	4.95042270125987	14.0552690729516	9.51283747595402	13.5882398886289	13.5076192867468	21.644787738347	7.83083366766582	0.0	16.6460941830955	0.0	8.946089733752	3.67375744980379	3.56230169975434	3.98145371359383	13.6091247663186	8.70128045251783	3.18466315851897	3.39297710521511	6.00495938427582	4.82567222738368	7.50775207548776	2.7137227475202	0.0	2.04395027628645	1.78149959452031	4.85123128151916	0.0	1.55662772766637	25.34577245174	34.0257195136373	13.9013524632482	6.11425829709905	7.7479844477943	1.72066247269774	3.51980727315743	5.8403582745243	0.0	4.37168981689773	10.4994513376449	3.808873110166	4.6998342383437	6.04781998744061	1.24974519136795	0.0	2.31706578824391	12.2152284739118	14.42920061821	12.690740912608	35.2684537300443	8.01089987880679	0.0	11.6391679952297	0.0	1.38625232878649	8.34207995094972	14.5169311649895	12.1036470446301	2.77556912921795	0.0	4.8995532112335	22.2419131320387	45.9428571910356	14.988942667126	4.29626767963373	0.0	3.29753489893037
RECQL	2.82951547288483	36.3777085526515	7.36091275750968	33.1494582866572	22.874028439491	3.37585424433803	6.90572304127324	3.68625591986248	29.8160213751973	9.83955550563829	16.226645588059	10.40485291164	10.359088865695	19.5286098281078	18.5541117110879	18.1183185719733	0.0	14.6730446606023	0.0	17.081846609882	26.5000605139523	4.74855704013188	21.5262318627955	0.0	24.5311505375307	13.2854239396012	12.8187052079491	21.8435964455867	4.68165877485532	0.0	6.16815505445491	30.6471583054871	26.6689301552586	0.0	5.04908945387607	29.666001560352	5.85426326388442	3.32907770289961	8.88891106608463	4.63269402157366	14.6300415984039	17.1654323405668	3.3289322792437	78.1331310356547	39.9695352690286	8.13125215394765	29.7603316070704	6.34140056641712	25.2520621963568	39.0826654992263	0.0	55.7907780631662	10.1349672533763	49.6612831421817	6.65916815082473	6.04456398073174	20.4484586815585	8.72791031105259	0.0	4.54238080401182	9.44775492015934	26.6639707826641	24.1346912766347	35.3746889668889	17.5425157266735	16.3732542786194	5.14690908909872	13.6176556366309	14.0166047597199	39.1528564504636	4.3919440917079	28.2581107274472	16.3502264620814	0.0	25.9832740033726	0.0	10.1129485407472	2.96483991476723	0.0	12.4768316667229	0.0	15.5381088282382	26.1938858890266	2.59087551444187	5.1970554555899	12.0585907835999	5.65536340538201	5.18747845987505	0.0	45.7857930446264	3.19766560706368	0.0	5.09345609377623	26.7654368147995	0.0	9.24453173160958
UPF1	21.1312163676164	7.10258309622312	11.3178313247152	15.7761869601829	7.17758134920242	22.2453093054228	10.6179506714833	1.61938079828377	11.7884227767379	6.48380942447119	14.2568062864388	25.9016311280228	13.6523154888124	29.413589872661	12.8085012373653	6.6328495702437	0.0	11.280329624834	33.5693362230598	11.2561424114188	7.27596138239185	8.34420860354337	15.3668510422869	30.8705119865782	7.18439432021635	16.3416893724044	7.039108760993	5.33107928755985	0.0	13.9613534318754	8.12905457990603	13.4633679160616	22.1296990717266	3.71885898657399	15.5265371740938	10.6628264804978	20.5743317311213	4.3874147307749	12.6909877354558	8.14061302953735	7.34515576860731	0.0	16.086484611722	6.53791736550838	19.1549561411911	5.3581169716769	8.71585525670637	12.536064073216	9.86070190985385	9.24490314662377	14.3831651874083	6.68427778613029	4.45231468409951	6.71271297714356	2.92538805509486	23.8985191247489	5.38983327201823	10.22451012563	4.16201161120316	45.8960043702096	7.26323623891087	20.0803617841006	4.24097040200586	8.47646352538517	4.81654247204741	11.9880144698884	2.26104913239709	14.3574426963325	14.7780649624805	14.0726789115081	9.64695626655374	12.4138537591041	14.3653850171496	0.0	6.65846573927511	0.0	4.4426418124352	7.81476641720275	10.2201320843164	12.0584225675737	0.0	10.9214837494109	10.4609408973301	28.4544409696552	7.99077491735643	1.32434174361745	17.3909000719457	22.788713513265	0.0	2.68184071507905	4.21422581284416	0.0	5.59391776810657	2.35162372758866	5.17474807064895	5.41485905147612
HOXA11	9.26736840620622	0.0	0.0	45.2386408781212	10.7025920421571	5.52838202648855	5.65449103812967	0.0	0.0	24.1702475294548	0.0	0.0	16.9642989746839	13.7059423984008	17.3626686592334	9.89033485983456	0.0	0.0	0.0	4.66227542928293	37.9725076046805	0.0	22.0324295561447	0.0	0.0	0.0	5.24805681357085	15.8984939308244	7.66679967551079	19.5168464749884	5.05056129079554	0.0	14.5578988768338	6.93155337766284	16.5370264037657	13.2495748782374	28.7612569713334	0.0	7.27834980660332	30.3464551599572	6.84529037819927	0.0	16.3546243835926	18.2789627254136	0.0	6.65796936229177	6.49816690140223	5.19241684870478	0.0	19.6931493122706	91.9154528045411	0.0	8.29863595215773	0.0	0.0	9.89872679636086	6.69737987853732	4.76434693760392	0.0	126.458148902671	7.7359380338886	6.23793929140534	0.0	10.5328112004497	0.0	0.0	0.0	13.3803648882162	13.7723622320473	5.82888015407068	3.5961778887023	9.25523557245734	0.0	3.98188759591438	10.6377123087063	18.6934824998464	0.0	9.71058968182974	0.0	4.08647334519974	0.0	0.0	3.89961385856258	0.0	4.25541298465944	0.0	9.26136235176993	8.49514244534371	0.0	0.0	0.0	0.0	8.34116910372198	0.0	19.2903482477594	0.0
CREBBP	7.05139146211008	26.1896038970232	15.5924136795454	15.1453956406871	4.88605801607975	13.4606620951019	6.88385795512673	24.8034446808372	17.8329702515296	22.0689027904164	20.2190854326144	7.77893158974456	11.6170758447019	11.8191151038452	10.5687801047102	13.5457138980703	10.5210795196305	18.2832330896292	13.8496661798184	7.80439073673567	8.25504853411213	8.28366355430922	16.0935561961032	11.0603972955661	16.9815828808984	19.2028709455223	8.78495631648994	14.516289775097	37.3346846467618	0.99000362396214	9.22293791387756	9.81968221544639	9.59995482003351	21.0964296072139	15.7284465342544	8.73720317003555	16.0482501794531	18.251953981148	18.8291293578612	19.6266099096036	10.9377896752183	3.42221653734361	13.2735684970793	9.2721123587355	12.6773126616063	5.06594172783876	11.3720063969427	14.2229750698756	12.5860542187119	13.4857803156555	19.8154801206096	1.26395754091294	0.0	12.3760110627416	6.63808371340787	29.3739494079478	7.13429997747356	7.97525278598777	4.72207122115398	19.2439940315609	17.0698371464792	10.4419647360154	15.6378789889266	11.2199451237508	9.83642182945829	7.48064755179052	6.41326600877801	13.5745390488632	11.8763912572265	11.5312628430563	9.85058595028047	21.126479352565	11.6417556678748	3.02975418330293	13.4901068030922	14.9347484609178	4.20038693787849	5.172041977964	17.393100776739	10.5717281085349	6.25531311728324	10.8422381549231	1.78029205244799	8.39368469764498	11.6563508971615	43.573988239867	25.3685575870447	18.7450697566237	4.53872550107541	3.80340206953823	5.57819687628008	4.75524061310323	5.71199518801383	9.33824197894707	15.4116012790106	6.91144608483265
MAP3K14	3.65342086690324	0.0	2.37607043727542	1.78341668670242	10.548051880236	0.0	13.3748231288091	0.0	25.02365129565	3.17616547336821	12.5709365068394	0.0	11.703539992403	3.60214275610738	6.84478410745925	3.89900931675296	0.0	2.36819731407022	0.0	0.0	6.415577705595	0.0	6.94857347724208	0.0	7.0387094046321	3.4307813837193	12.4134658943007	0.0	3.02243794453237	2.56467104225326	1.99105346853474	0.0	5.73907599262742	0.0	6.5192959524073	1.74110100501786	0.0	2.14922343840648	5.73860321388717	2.99082672821348	6.74644775397545	4.4327411744813	10.7456477708328	2.40200313326094	9.38326628014602	0.0	11.5278058248304	10.2348818096052	1.81139004666659	3.88175798559537	0.0	0.0	29.4437078391406	12.3311115010754	12.8973020884223	13.6581116741654	18.4818844255809	5.63466253505754	0.0	8.79756391535713	10.6739288541752	2.45914660718936	3.11622910605352	10.380722590327	5.66264733555813	1.76173828504853	3.32279947686516	17.5828786723142	9.04899739955943	6.89365679192125	2.83540067984833	7.297275620526	12.063500746752	10.9882950762853	5.59152478837672	0.0	0.0	0.0	17.5225550089954	4.8329600174517	9.72288587060976	4.01250684573368	9.22393284863691	11.7085259492361	8.38793383083503	1.94623017688142	5.47657970237523	6.69798141538207	0.0	3.94118765373886	51.6096234769591	0.0	4.93243603612951	6.91181273317243	0.0	1.9893962680577
ETV1	25.568627027959	22.2325032442092	10.1220205275115	29.3039694431915	14.1222794433143	23.8739176405952	32.5580137062358	42.0001633831087	25.7715103225967	15.4633280783284	10.2003772099312	19.0770063852767	15.2623119285289	27.4019075092819	39.5724758392356	32.0330214270089	18.2455825779283	34.5890782411121	27.2931753439641	22.370776654234	10.4115254390299	9.32822821215591	27.4864640107461	21.7964360181965	20.3468183569632	26.0983421608847	26.4405790814338	12.3963116545173	16.5542597402902	15.6077942380055	19.3870963358824	18.9213603051377	17.4631201689141	9.97780385332872	22.8127900896998	28.6086650579079	19.5505362097671	20.9272139127366	20.9540178916396	29.1219933668973	22.9918041425832	35.0691782019384	14.3868310795351	27.7739106053471	11.4207309216752	31.9466208793825	23.3848861920782	24.9145292636479	27.5588980685651	24.8043366454756	47.7786388148397	0.0	0.0	22.5129984934359	10.4651985332013	39.1846906059562	8.03393062592845	36.5768665059975	28.5373646941204	39.2621176067228	13.9196201987685	17.9587262212215	28.4466088736874	32.8504098078918	14.6459756533555	28.9477637261656	28.3101409672015	17.12063327627	14.3180433895358	41.9526617578236	23.2947508849187	18.8738084399025	18.3536830204847	21.9720193143524	2.55212170301429	44.8480284184127	49.0033494424876	29.1211657601669	44.1781222585363	14.7059494707401	0.0	84.2451182521376	11.226800131078	14.2508930646692	26.5441120679953	28.425970869659	15.5534256051095	21.3999670366871	12.8798608021366	11.9924241626871	17.5884909826136	3.7484113817931	25.014399337415	9.46420946939282	18.5119939299422	8.47479500049039
AGK	17.9607459939129	37.3192085703491	23.3622126452259	23.9114581882906	22.6279638074749	15.584514843573	15.9400162822241	29.7805786029275	17.205579464716	8.51699420352104	13.1092063302828	30.0210281809805	31.3834348719455	4.82963328442196	21.4136044125524	29.6234185785743	12.1811184907285	14.8176011568004	4.0087242112045	14.7858293475182	17.2035867113832	32.8823250300014	32.6074572997264	0.0	26.7389249431197	13.7996329553787	18.4928472107957	18.2072602519991	43.2254329650916	16.0469198984057	30.2547675673912	12.6322813151203	22.2293134369494	24.4250704784912	24.7657567790319	24.9003771653937	18.5803782435092	0.0	28.2118043443062	13.3666702409541	27.7392662866681	9.90545339585481	34.5777777176857	12.8821038666654	20.9679526009678	44.5759540335016	9.15916972142047	7.31871432409466	8.09550523376576	10.4090641813216	8.09717999160212	0.0	5.84846590549195	17.6353540868901	34.5845479554517	31.3925866004033	35.3998519469656	30.2190729999909	1.82237665375221	0.0	29.9854741845106	4.39618938300661	19.497969925214	16.7017533950617	13.9191971240472	25.1955214763501	8.91019820006795	18.8596314630303	16.1767932739336	24.6474290797759	20.2752586265128	14.6759169230893	33.6965434406944	8.41870904271374	32.4866992363332	1.64677959856215	23.3430393077396	29.0850478640355	29.0873877864307	11.5197727293426	8.69074814645003	8.96639302781178	8.24476172754287	14.9508594677889	19.4935223496138	1.73962715672981	9.79042138943023	10.4771693409085	31.5291333112738	14.0912357719137	29.5238262739858	0.0	35.2706469325553	6.17808585833588	10.19615856291	46.2334841877983
GAS7	16.9345100301923	10.5835520394216	8.26025595976383	8.26657778263965	8.55624548954428	8.83939023225383	16.7904792796581	12.4099082957588	5.57648162155918	18.4028914357928	8.49762117270905	6.48672183171218	19.3745731359385	22.9581320293212	15.8636342957828	12.4251003830704	3.15840723797226	19.2100662917965	31.1823177157496	17.0390010540289	13.6298207282033	5.32872727652027	11.0716230662631	11.0676978878404	14.2739451510569	14.9086133595485	14.3848717650392	27.2360090334741	10.5073110008337	8.91591382530656	10.3826538693849	4.91308192693621	12.19260065338	12.666212785955	9.443297008289	6.05282559288982	8.7593689548338	8.71690979513693	7.48120678388638	34.6580554722877	13.2903684823068	6.42089142402588	18.6782764618555	20.876023271054	20.387700843347	6.08314270051767	14.1007004846121	9.48824211482133	13.6438919990304	17.9929090944191	3.49915758448971	3.79437550895845	7.58215966005065	25.720989328263	34.8729427557843	7.91359104130849	18.3574519363789	9.79427083816536	16.5381583494674	1.69912026510462	15.0195917698553	8.54906491798344	11.7361507659469	15.6380960748855	13.123886022846	12.2491395375493	15.4019980503881	15.2814365332252	12.5833028393398	17.3083113565083	13.9642079818827	10.5702121117124	20.0952839914583	0.909526206314305	11.3391693777754	0.0	3.78284352345968	9.98123631504113	11.6030542475407	15.8680592203355	50.7014804983441	15.1116569701008	7.12586865085455	19.3828271159631	11.6640448581497	27.0637758299645	15.8658140684653	13.5829757772134	9.53761485493312	0.0	13.157285871124	17.8439226966943	11.4315309637346	3.00355901840532	19.8279950825856	5.76334007954142
